State,Electrical Price
Alaska,14.5
Alabama,5.55
Arkansas,5.56
Arizona,5.57
California,12.92
Colorado,7.1
Connecticut,12.8
Delaware,6.81
Florida,7.44
Georgia,5.51
Hawaii,23.57
Iowa,5.46
Idaho,5.53
Illinois,6.47
Indiana,6.63
Kansas,7.01
Kentucky,5.13
Louisiana,5.27
Massachusetts,13.73
Maryland,8.02
Maine,9.01
Michigan,7.58
Minnesota,7.45
Missouri,5.6
Mississippi,5.85
Montana,5.29
North Carolina,6.63
North Dakota,7.06
Nebraska,6.37
New Hampshire,13.51
New Jersey,9.64
New Mexico,5.37
Nevada,4.42
New York,5.61
Ohio,5.8
Oklahoma,4.27
Oregon,6
Pennsylvania,6.08
Rhode Island,16.24
South Carolina,5.86
South Dakota,7.62
Tennessee,5.17
Texas,4.89
Utah,5.5
Virginia,6.41
Vermont,11.14
Washington,5.38
Wisconsin,7.35
West Virginia,6.07
Wyoming,6.56
